Trait	Tissue	TCSC_Cov	TCSC_CovSE	TCSC_CovP	TCSC_CovFDRP	TCSC_PropCov	TCSC_PropCovSE	TCSC_GenomeCov
"WBC Count,BMI"	Heart A. Appen.	-0.003089814	0.001990343	0.06028295	0.791116857	-0.05032271	0.032416016	0.0614
"WBC Count,BMI"	Heart Left Vent.	-0.000403266	0.002214254	0.42774318	0.939969621	-0.006567851	0.036062764	0.0614
"WBC Count,BMI"	Liver	0.00061545	0.001988581	0.37847358	0.939969621	0.010023622	0.032387317	0.0614
"WBC Count,BMI"	Lung	0.000256546	0.002079029	0.45089637	0.939969621	0.004178272	0.033860402	0.0614
"WBC Count,BMI"	Min. Salivary Gland	-0.001816051	0.001273569	0.0769409	0.791116857	-0.029577374	0.020742174	0.0614
"WBC Count,BMI"	Muscle Skeletal	-0.001628219	0.002107872	0.21992499	0.87722223	-0.026518223	0.03433017	0.0614
"WBC Count,BMI"	Tibial Nerve	0.004454877	0.003140551	0.07802215	0.791116857	0.072555001	0.051149034	0.0614
"WBC Count,BMI"	Ovary	0.000702725	0.002145586	0.37163686	0.939969621	0.01144503	0.034944393	0.0614
"WBC Count,BMI"	Pancreas	0.000683749	0.002094425	0.37203763	0.939969621	0.011135976	0.034111154	0.0614
"WBC Count,BMI"	Pituitary	-0.002185213	0.001732862	0.10364675	0.791116857	-0.035589787	0.028222509	0.0614
"WBC Count,BMI"	Prostate	-0.002302217	0.002452841	0.17397012	0.873698206	-0.037495397	0.039948555	0.0614
"WBC Count,BMI"	Skin (sun unexposed)	-0.00150826	0.003710487	0.34219282	0.939969621	-0.024564502	0.060431378	0.0614
"WBC Count,BMI"	Skin (sun exposed)	0.005659396	0.005063541	0.13185281	0.791116857	0.092172573	0.082468099	0.0614
"WBC Count,BMI"	Spleen	-0.000388426	0.001839617	0.41638712	0.939969621	-0.006326152	0.029961194	0.0614
"WBC Count,BMI"	Stomach	0.00030806	0.00231322	0.44702809	0.939969621	0.005017257	0.037674592	0.0614
"WBC Count,BMI"	Testis	0.003102933	0.002252145	0.08413745	0.791116857	0.050536367	0.036679879	0.0614
"WBC Count,BMI"	Thyroid	-6.34E-05	0.002060238	0.48772406	0.975448113	-0.001032672	0.033554366	0.0614
"WBC Count,BMI"	Uterus	0.003292697	0.00254784	0.0981182	0.791116857	0.053626993	0.041495759	0.0614
"WBC Count,BMI"	Vagina	-0.001926391	0.001628653	0.1184417	0.791116857	-0.031374447	0.026525288	0.0614
"WBC Count,BMI"	Whole Blood	0.003379346	0.002171787	0.05985158	0.791116857	0.055038201	0.035371123	0.0614
"WBC Count,BMI"	AllTissues	0.000291516	0.003796416	0.46939641	1	0.004747822	0.061830883	0.0614
"BMI,Height"	Adipose Sub.	-0.004745631	0.004594762	0.15084059	0.9154735	-0.082676493	0.080048124	-0.0574
"BMI,Height"	Adipose Visc.	0.005614248	0.004547791	0.10850832	0.8852248	0.097809206	0.079229814	-0.0574
"BMI,Height"	Adrenal Gland	-0.000901875	0.002844017	0.37557888	0.9154735	-0.015712108	0.049547326	-0.0574
"BMI,Height"	Aorta Artery	0.005942398	0.006787135	0.19064047	0.9154735	0.103526098	0.118242764	-0.0574
"BMI,Height"	Coronary Artery	0.012003488	0.008278444	0.07353357	0.8852248	0.209120003	0.144223768	-0.0574
"BMI,Height"	Tibial Artery	-0.005215407	0.005098971	0.1531929	0.9154735	-0.09086074	0.088832242	-0.0574
"BMI,Height"	Brain Limbic	-0.00382127	0.004580256	0.20205825	0.9154735	-0.066572652	0.079795394	-0.0574
"BMI,Height"	Brain Cortex	-0.002165981	0.003786443	0.28364883	0.9154735	-0.037734861	0.065965898	-0.0574
"BMI,Height"	Brain Basal Ganglia	0.00519063	0.003935382	0.09359045	0.8852248	0.090429092	0.068560658	-0.0574
"BMI,Height"	Brain Cereb.	0.000896874	0.004783744	0.42564074	0.9569647	0.015624973	0.083340481	-0.0574
"BMI,Height"	Brain Spinal Cord	-0.004590411	0.003191799	0.07519016	0.8852248	-0.079972315	0.055606246	-0.0574
"BMI,Height"	Brain Subst. Nigra	0.005340363	0.004277861	0.10594736	0.8852248	0.093037687	0.074527192	-0.0574
"BMI,Height"	Breast	-0.002482271	0.005602358	0.32885536	0.9154735	-0.043245131	0.097602047	-0.0574
"BMI,Height"	LCLs	0.000934107	0.002695221	0.3644538	0.9154735	0.01627364	0.046955064	-0.0574
