Trait	Tissue	TCSC_h2ge(t')	TCSC_JKSE	TCSC_JKP	TCSC_FDR	pi_(t')	pi_(t')_SE
DBP	Sigmoid Intestine	-0.004646748	0.005176452	0.815319368	0.98529567	-0.019943125	0.022216533
DBP	Transverse Intestine	-0.004884922	0.004379059	0.867685867	0.98529567	-0.020965331	0.018794247
DBP	Esophagus Mucosa	-0.006033306	0.003814607	0.943133218	0.98529567	-0.025894015	0.016371705
DBP	Esophagus Muscularis	0.002880901	0.007795957	0.355863425	0.867417098	0.012364383	0.033459042
DBP	Heart A. Appen.	-0.00052987	0.006244792	0.53380961	0.946298855	-0.002274118	0.026801681
DBP	Heart Left Vent.	0.011934981	0.015811661	0.225178059	0.798358572	0.051223094	0.067861205
DBP	Liver	0.014590981	0.016896426	0.193916386	0.775630399	0.062622237	0.072516848
DBP	Lung	-0.004535096	0.005958104	0.776720516	0.98529567	-0.01946393	0.025571261
DBP	Min. Salivary Gland	-0.002824405	0.002441589	0.876320899	0.98529567	-0.01212191	0.010478921
DBP	Muscle Skeletal	-0.001632135	0.005078436	0.626040799	0.98529567	-0.007004871	0.021795864
DBP	Tibial Nerve	-0.002004508	0.005359406	0.645804101	0.98529567	-0.008603039	0.023001743
DBP	Ovary	0.005277598	0.004871136	0.139305974	0.775630399	0.022650633	0.020906165
DBP	Pancreas	0.010547393	0.005986889	0.039055893	0.380794955	0.045267782	0.025694802
DBP	Pituitary	-0.007847572	0.004295807	0.966134949	0.98529567	-0.033680568	0.018436939
DBP	Prostate	-0.007219853	0.003314954	0.98529567	0.98529567	-0.030986494	0.014227271
DBP	Skin (sun unexposed)	-0.006201257	0.004112525	0.934209318	0.98529567	-0.026614837	0.017650324
DBP	Skin (sun exposed)	0.000600598	0.005253724	0.454492686	0.886260737	0.002577672	0.022548173
DBP	Spleen	0.002780222	0.00484109	0.282883542	0.848650626	0.011932283	0.020777212
DBP	Stomach	0.000561422	0.003724482	0.440091059	0.886260737	0.002409538	0.015984903
DBP	Testis	0.000832043	0.003952055	0.416625362	0.886260737	0.003570999	0.016961608
DBP	Thyroid	0.003793693	0.008656372	0.330600962	0.867417098	0.016281943	0.037151813
DBP	Uterus	0.002573669	0.003740868	0.245730447	0.798623951	0.01104579	0.016055228
DBP	Vagina	-0.002348341	0.003051862	0.779195283	0.98529567	-0.010078718	0.013098119
DBP	Whole Blood	0.006987183	0.004693321	0.068276564	0.532557197	0.02998791	0.020143009
DBP	AllTissues	6.00E-02	0.007075624	1.10E-17	NA	0.257587827	0.030367487
WBC Count	Adipose Sub.	-0.001600345	0.00650131	0.597219785	0.982101041	-0.007040674	0.02860233
WBC Count	Adipose Visc.	-0.004539964	0.005124729	0.812162531	0.985528157	-0.019973444	0.022546102
WBC Count	Adrenal Gland	0.00181165	0.004635605	0.347968095	0.969339694	0.007970305	0.020394216
WBC Count	Aorta Artery	-0.00128035	0.005321883	0.595060524	0.982101041	-0.005632865	0.023413476
WBC Count	Coronary Artery	0.000329201	0.004321739	0.469640593	0.982101041	0.001448312	0.019013371
WBC Count	Tibial Artery	-0.001952078	0.00653027	0.617502354	0.982101041	-0.008588112	0.028729738
WBC Count	Brain Limbic	-0.000591395	0.004500892	0.55226858	0.982101041	-0.002601825	0.01980155
WBC Count	Brain Cortex	0.001894083	0.00408653	0.32150511	0.964515331	0.008332965	0.017978577
WBC Count	Brain Basal Ganglia	-0.003146532	0.003939071	0.78779692	0.985528157	-0.013843078	0.017329834
WBC Count	Brain Cereb.	-0.001373399	0.005411705	0.600168392	0.982101041	-0.006042229	0.023808645
WBC Count	Brain Spinal Cord	0.002741979	0.002356153	1.22E-01	0.669217856	0.012063259	0.010365828
WBC Count	Brain Subst. Nigra	-0.002601959	0.002628343	0.83890357	0.985528157	-0.011447245	0.011563322
WBC Count	Breast	0.000536595	0.005764371	0.462916735	0.982101041	0.002360735	0.025360187
WBC Count	LCLs	-0.003315404	0.002395114	0.916856965	0.988796267	-0.014586029	0.010537238
WBC Count	Fibroblasts	2.06E-02	0.011139259	0.032471508	0.422129603	0.090449514	0.049006857
WBC Count	Sigmoid Intestine	-0.003683875	0.004177883	0.811045703	0.985528157	-0.016207105	0.01838048
